,Id,PreMinedValue,ImageUrl,FullName,Name,Symbol,Algorithm,Url,SortOrder,FullyPremined,ProofType,TotalCoinSupply,TotalCoinsFreeFloat,SmartContractAddress,Sponsored,BuiltOn,CoinName
BULLS,35821,N/A,/media/352295/bulls.png,BullshitCoin (BULLS),BULLS,BULLS,Scrypt,/coins/bulls/overview,972,0,PoW/PoS,N/A,N/A,N/A,False,N/A,BullshitCoin
NIC,35947,N/A,/media/352309/nic.png,NewInvestCoin (NIC),NIC,NIC,PoS,/coins/nic/overview,975,0,PoS,47090909,N/A,N/A,False,N/A,NewInvestCoin
XNG,35953,N/A,/media/352311/xng.png,Enigma (XNG),XNG,XNG,X11,/coins/xng/overview,977,0,PoW/PoS,5000000,N/A,N/A,False,N/A,Enigma
XCI,35955,N/A,/media/352312/xci.png,Cannabis Industry Coin (XCI),XCI,XCI,CryptoNight,/coins/xci/overview,978,0,PoW,21000000,N/A,N/A,False,N/A,Cannabis Industry Coin
LOC,36988,N/A,/media/1381971/loc.png,Loco (LOC),LOC,LOC,Quark,/coins/loc/overview,980,0,PoW/PoS,N/A,N/A,N/A,False,N/A,Loco
MMXVI,36992,N/A,/media/1381972/mmxvi.png,MMXVI (MMXVI),MMXVI,MMXVI,N/A,/coins/mmxvi/overview,981,0,PoW,N/A,N/A,N/A,False,N/A,MMXVI
TRST,37040,N/A,/media/1381975/trst.png,TrustCoin (TRST),TRST,TRST,N/A,/coins/trst/overview,983,0,N/A,100000000,N/A,0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b,False,7605,TrustCoin
MIS,37190,N/A,/media/1381981/mis.png,MIScoin (MIS),MIS,MIS,X11,/coins/mis/overview,984,0,PoW/PoS,25000000,N/A,N/A,False,N/A,MIScoin
WOP,37191,N/A,/media/1381982/wop.png,WorldPay (WOP),WOP,WOP,X11,/coins/wop/overview,985,0,PoW/PoS,10000000,N/A,N/A,False,N/A,WorldPay
CQST,37195,N/A,/media/1381983/cqst.png,ConquestCoin (CQST),CQST,CQST,X13,/coins/cqst/overview,986,0,PoW/PoS,30000000,N/A,N/A,False,N/A,ConquestCoin
IMPS,37204,N/A,/media/1381984/imps.jpg,Impulse Coin (IMPS),IMPS,IMPS,X13,/coins/imps/overview,987,0,PoW/PoS,N/A,N/A,N/A,False,N/A,Impulse Coin
IN,37210,N/A,/media/1381987/in.png,InCoin (IN),IN,IN,X11,/coins/in/overview,988,0,PoW/PoS,N/A,N/A,N/A,False,N/A,InCoin
CHIEF,37214,N/A,/media/1381988/chief.png,TheChiefCoin (CHIEF),CHIEF,CHIEF,Scrypt,/coins/chief/overview,989,0,PoW/PoS,2500000000,N/A,N/A,False,N/A,TheChiefCoin
GOAT,37356,N/A,/media/1381990/goat.png,Goat (GOAT),GOAT,GOAT,Scrypt,/coins/goat/overview,990,0,PoW/PoS,N/A,N/A,N/A,False,N/A,Goat
ANAL,37359,N/A,/media/1381991/anal.jpg,AnalCoin (ANAL),ANAL,ANAL,SHA256,/coins/anal/overview,991,0,N/A,600000,N/A,N/A,False,N/A,AnalCoin
RC,37361,N/A,/media/1381992/rc.png,Russiacoin (RC),RC,RC,Scrypt,/coins/rc/overview,992,0,PoW/PoS,144000000,N/A,N/A,False,N/A,Russiacoin
PND,37366,N/A,/media/12318184/pnd.png,PandaCoin (PND),PND,PND,Scrypt,/coins/pnd/overview,993,0,PoS,32514916898,N/A,N/A,False,N/A,PandaCoin
PX,37370,N/A,/media/1381994/px.png,PXcoin (PX),PX,PX,SHA256,/coins/px/overview,994,0,PoW/PoS,N/A,N/A,N/A,False,N/A,PXcoin
CND*,37746,N/A,/media/1381997/cnd.png,Canada eCoin (CND*),CND*,CND*,Scrypt,/coins/cndstar/overview,995,0,PoW,100000000,N/A,N/A,False,N/A,Canada eCoin
OPTION,37749,N/A,/media/1381998/option.png,OptionCoin (OPTION),OPTION,OPTION,X11,/coins/option/overview,996,0,PoS,21000000,N/A,N/A,False,N/A,OptionCoin
AV,38026,N/A,/media/1382048/av.png,Avatar Coin (AV),AV,AV,PoS,/coins/av/overview,997,0,PoS,10000000,N/A,N/A,False,N/A,Avatar Coin
LTD,38030,N/A,/media/1382049/ltd.png,Limited Coin (LTD),LTD,LTD,PoS,/coins/ltd/overview,998,0,PoS,128,N/A,N/A,False,N/A,Limited Coin
UNITS,38032,N/A,/media/1382050/units.png,GameUnits (UNITS),UNITS,UNITS,Scrypt,/coins/units/overview,999,0,PoW/PoS,13000000,N/A,N/A,False,N/A,GameUnits
HEEL,38035,N/A,/media/1382051/heel.png,HeelCoin (HEEL),HEEL,HEEL,PoS,/coins/heel/overview,1000,0,PoS,N/A,N/A,N/A,False,N/A,HeelCoin
GAKH,38277,N/A,/media/1382090/gakh.png,GAKHcoin (GAKH),GAKH,GAKH,Scrypt,/coins/gakh/overview,1001,1,PoW/PoS,3315789,N/A,N/A,False,N/A,GAKHcoin
SHIFT,38307,N/A,/media/1382125/shift.png,Shift (SHIFT),SHIFT,SHIFT,DPoS,/coins/shift/overview,1003,0,DPoS,N/A,N/A,N/A,False,N/A,Shift
S8C,38310,N/A,/media/1382093/s8c.png,S88 Coin (S8C),S8C,S8C,Scrypt,/coins/s8c/overview,1004,0,PoW/PoS,520000000,N/A,N/A,False,N/A,S88 Coin
LVG,38312,N/A,/media/1382094/lvg.png,Leverage Coin (LVG),LVG,LVG,N/A,/coins/lvg/overview,1005,0,N/A,26000,N/A,N/A,False,N/A,Leverage Coin
ASAFE2,38367,N/A,/media/1382096/allsafe.jpg,Allsafe (ASAFE2),ASAFE2,ASAFE2,Scrypt,/coins/asafe2/overview,1007,0,PoS,15000000,N/A,N/A,False,N/A,Allsafe
LTCR,38370,N/A,/media/1382097/ltcr.png,LiteCreed (LTCR),LTCR,LTCR,QuBit,/coins/ltcr/overview,1008,0,PoW/PoS,78835200,N/A,N/A,False,N/A,LiteCreed
QBC,38371,N/A,/media/19874/qbc.png,Quebecoin (QBC),QBC,QBC,X11,/coins/qbc/overview,1009,0,N/A,21000000,N/A,N/A,False,N/A,Quebecoin
XPRO,38380,N/A,/media/1382098/xpro.png,ProCoin (XPRO),XPRO,XPRO,X15,/coins/xpro/overview,1010,0,PoW/PoS,6000000,N/A,N/A,False,N/A,ProCoin
AST*,38959,N/A,/media/1382170/ast.png,Astral (AST*),AST*,AST*,X13,/coins/aststar/overview,1011,0,PoW/PoS,37875500,N/A,N/A,False,N/A,Astral
GIFT,38962,N/A,/media/1382171/gift.png,GiftNet (GIFT),GIFT,GIFT,X13,/coins/gift/overview,1012,0,PoW,6750000,N/A,N/A,False,N/A,GiftNet
VIDZ,38964,N/A,/media/1382172/vidz.png,PureVidz (VIDZ),VIDZ,VIDZ,PoS,/coins/vidz/overview,1013,0,PoS,125000000,N/A,N/A,False,N/A,PureVidz
INC,38967,N/A,/media/1382173/inc.png,Incrementum (INC),INC,INC,PoS,/coins/inc/overview,1014,0,PoS,1300000,N/A,N/A,False,N/A,Incrementum
PTA,39698,N/A,/media/1382236/pta.png,PentaCoin (PTA),PTA,PTA,SHA256,/coins/pta/overview,1015,0,PoW/PoS, 1311955 ,N/A,N/A,False,N/A,PentaCoin
ACID,39700,N/A,/media/1382237/acid.png,AcidCoin (ACID),ACID,ACID,SHA256,/coins/acid/overview,1016,0,PoW,4500000000,N/A,N/A,False,N/A,AcidCoin
ZLQ,39704,N/A,/media/1382238/zlq.png,ZLiteQubit (ZLQ),ZLQ,ZLQ,QuBit,/coins/zlq/overview,1017,0,N/A, 83075000,N/A,N/A,False,N/A,ZLiteQubit
RADI,39707,N/A,/media/1382239/rad.png,RadicalCoin (RADI),RADI,RADI,X13,/coins/radi/overview,1018,0,PoS,N/A,N/A,N/A,False,N/A,RadicalCoin
RNC,39710,N/A,/media/1382240/rnc.png,ReturnCoin (RNC),RNC,RNC,X11,/coins/rnc/overview,1019,0,PoS,250000000,N/A,N/A,False,N/A,ReturnCoin
GOLOS,40806,N/A,/media/1382246/golos.png,Golos (GOLOS),GOLOS,GOLOS,N/A,/coins/golos/overview,1020,0,PoW,N/A,N/A,N/A,False,N/A,Golos
PAYP,40842,N/A,/media/1382251/payp.png,PayPeer (PAYP),PAYP,PAYP,X11,/coins/payp/overview,1023,0,PoW/PoS,50000000000,N/A,N/A,False,N/A,PayPeer
DETH,40845,N/A,/media/1382252/deth.png,DarkEther (DETH),DETH,DETH,X11,/coins/deth/overview,1024,0,N/A,16035000,N/A,N/A,False,N/A,DarkEther
YAY,40847,N/A,/media/1382253/yay.png,YAYcoin (YAY),YAY,YAY,Scrypt,/coins/yay/overview,1025,0,PoW/PoS,N/A,N/A,N/A,False,N/A,YAYcoin
YES,40990,N/A,/media/1382269/yes.png,YesCoin (YES),YES,YES,Scrypt,/coins/yes/overview,1027,0,PoW/PoS,N/A,N/A,N/A,False,N/A,YesCoin
LENIN,40992,N/A,/media/1382270/lenin.png,LeninCoin (LENIN),LENIN,LENIN,SHA256D,/coins/lenin/overview,1028,0,PoW,100000000,N/A,N/A,False,N/A,LeninCoin
MRSA,41116,N/A,/media/1382287/msra.png,MrsaCoin (MRSA),MRSA,MRSA,X13,/coins/mrsa/overview,1029,0,PoW/PoS,2100000000,N/A,N/A,False,N/A,MrsaCoin
OS76,41122,N/A,/media/1382288/os76.png,OsmiumCoin (OS76),OS76,OS76,Scrypt,/coins/os76/overview,1030,0,PoW,2714286,N/A,N/A,False,N/A,OsmiumCoin
BIC,41587,N/A,/media/1382337/bic.png,Bikercoins (BIC),BIC,BIC,CryptoNight,/coins/bic/overview,1033,0,PoW,25000000,N/A,N/A,False,N/A,Bikercoins
CRPS,41590,N/A,/media/1382338/crps.png,CryptoPennies (CRPS),CRPS,CRPS,X11,/coins/crps/overview,1034,0,PoS,1593.15,N/A,N/A,False,N/A,CryptoPennies
MOTO,41592,N/A,/media/1382339/moto.png,Motocoin (MOTO),MOTO,MOTO,N/A,/coins/moto/overview,1035,0,PoP,40000000,N/A,N/A,False,N/A,Motocoin
NTCC,41819,N/A,/media/1382346/ntcc.png,NeptuneClassic (NTCC),NTCC,NTCC,X11,/coins/ntcc/overview,1036,0,PoW/PoS,250000000,N/A,N/A,False,N/A,NeptuneClassic
XNC*,41866,N/A,/media/1382347/xnc.png,Numismatic Collections (XNC*),XNC*,XNC*,X13,/coins/xncstar/overview,1037,0,PoW/PoS,23273860,N/A,N/A,False,N/A,Numismatic Collections
HXX,41868,N/A,/media/1382348/hexx.jpg,HexxCoin (HXX),HXX,HXX,Lyra2RE,/coins/hxx/overview,1038,0,PoW,9999999,N/A,N/A,False,N/A,HexxCoin
SPKTR,41871,N/A,/media/1382349/spkr.png,Ghost Coin (SPKTR),SPKTR,SPKTR,SHA256,/coins/spktr/overview,1039,0,PoW/PoS,2270000,N/A,N/A,False,N/A,Ghost Coin
MAC,41962,N/A,/media/1382368/mac.png,MachineCoin (MAC),MAC,MAC,Time Travel,/coins/mac/overview,1040,0,PoW,35000000,N/A,N/A,False,N/A,MachineCoin
SEL,41967,N/A,/media/1382369/sel.png,SelenCoin (SEL),SEL,SEL,PoS,/coins/sel/overview,1041,0,PoS,159680000,N/A,N/A,False,N/A,SelenCoin
NOO,41971,N/A,/media/1382370/noo.png,Noocoin (NOO),NOO,NOO,PoS,/coins/noo/overview,1042,0,PoS,25000000,N/A,N/A,False,N/A,Noocoin
CHAO,41974,N/A,/media/1382371/chao.png,23 Skidoo (CHAO),CHAO,CHAO,SHA256D,/coins/chao/overview,1043,0,PoW,23,N/A,N/A,False,N/A,23 Skidoo
XGB,41989,N/A,/media/1382372/xgb.png,GoldenBird (XGB),XGB,XGB,X13,/coins/xgb/overview,1044,0,PoW/PoS,450000000,N/A,N/A,False,N/A,GoldenBird
JOK,42101,N/A,/media/1382381/jok.png,JokerCoin (JOK),JOK,JOK,Scrypt,/coins/jok/overview,1046,0,PoW/PoS,5000000000,N/A,N/A,False,N/A,JokerCoin
GBIT,42103,N/A,/media/1382382/gbit.jpg,GravityBit (GBIT),GBIT,GBIT,Scrypt,/coins/gbit/overview,1047,0,PoW/PoS,5333000,N/A,N/A,False,N/A,GravityBit
BOMB,42110,N/A,/media/1382384/bomb.png,BombCoin (BOMB),BOMB,BOMB,Scrypt,/coins/bomb/overview,1049,0,PoW/PoS,4516129032,N/A,N/A,False,N/A,BombCoin
RIDE,42344,N/A,/media/1382388/ride.png,Ride My Car (RIDE),RIDE,RIDE,PoS,/coins/ride/overview,1050,0,PoS,100000000,N/A,N/A,False,N/A,Ride My Car
KED,42435,N/A,/media/1382390/ked.png,Klingon Empire Darsek (KED),KED,KED,Scrypt,/coins/ked/overview,1052,0,PoW/PoS,500000000,N/A,N/A,False,N/A,Klingon Empire Darsek
CNO,42438,N/A,/media/1382391/coino.png,Coino (CNO),CNO,CNO,Scrypt,/coins/cno/overview,1053,0,PoW,N/A,N/A,N/A,False,N/A,Coino
IOP,42596,N/A,/media/12318262/iop.png,Internet of People (IOP),IOP,IOP,SHA256,/coins/iop/overview,1055,0,PoW/PoS,21000000,N/A,N/A,False,N/A,Internet of People
XSPEC,42598,N/A,/media/1382395/xspec.png,Spectre (XSPEC),XSPEC,XSPEC,POS 3.0,/coins/xspec/overview,1056,0,PoS,N/A,N/A,N/A,False,N/A,Spectre
PEPECASH,42663,N/A,/media/1382397/pepecash.png,Pepe Cash (PEPECASH),PEPECASH,PEPECASH,N/A,/coins/pepecash/overview,1057,1,N/A,701884009,N/A,N/A,False,5292,Pepe Cash
CLICK,42680,N/A,/media/1382399/click.png,Clickcoin (CLICK),CLICK,CLICK,PoS,/coins/click/overview,1058,0,PoS,N/A,N/A,N/A,False,N/A,Clickcoin
ELS,42685,N/A,/media/1382400/els.png,Elysium (ELS),ELS,ELS,Scrypt,/coins/els/overview,1059,0,PoW,18000000,N/A,N/A,False,N/A,Elysium
ERY,42694,N/A,/media/1382403/ely2.png,Eryllium (ERY),ERY,ERY,X11,/coins/ery/overview,1061,0,PoW/PoS,100000000,N/A,N/A,False,N/A,Eryllium
PLU,42837,N/A,/media/1382431/plu.png,Pluton (PLU),PLU,PLU,N/A,/coins/plu/overview,1062,0,N/A,20000000,N/A,0xD8912C10681D8B21Fd3742244f44658dBA12264E,False,7605,Pluton
PRES,42841,N/A,/media/1382432/pres.png,President Trump (PRES),PRES,PRES,N/A,/coins/pres/overview,1063,0,N/A,57968072167,N/A,N/A,False,22441,President Trump
BTZ,42843,N/A,/media/1382433/btz.png,BitzCoin (BTZ),BTZ,BTZ,X11,/coins/btz/overview,1064,0,PoW/PoS,N/A,N/A,N/A,False,N/A,BitzCoin
OPES,42850,N/A,/media/1382434/opes.png,Opes (OPES),OPES,OPES,Argon2,/coins/opes/overview,1065,0,PoW,52000000,N/A,N/A,False,N/A,Opes
WCT,43042,N/A,/media/350884/waves_1.png,Waves Community Token (WCT),WCT,WCT,N/A,/coins/wct/overview,1066,0,N/A,10000000,N/A,N/A,False,20131,Waves Community Token
UBQ,43044,N/A,/media/1382441/ubq.png,Ubiq (UBQ),UBQ,UBQ,Dagger-Hashimoto,/coins/ubq/overview,1067,0,PoW,N/A,N/A,N/A,False,N/A,Ubiq
RATIO,43046,N/A,/media/1382442/ratio.png,Ratio (RATIO),RATIO,RATIO,PoS,/coins/ratio/overview,1068,0,PoS,100000000,N/A,N/A,False,N/A,Ratio
BAN,43247,N/A,/media/1382466/ban.png,Babes and Nerds (BAN),BAN,BAN,PoS,/coins/ban/overview,1069,0,N/A,150000000,N/A,N/A,False,N/A,Babes and Nerds
NICE,43253,N/A,/media/1382467/nice.png,NiceCoin (NICE),NICE,NICE,Scrypt,/coins/nice/overview,1070,0,PoW,N/A,N/A,N/A,False,N/A,NiceCoin
SMF,43257,N/A,/media/1382468/xmf.png,SmurfCoin (SMF),SMF,SMF,Scrypt,/coins/smf/overview,1071,0,PoW/PoS,2500000000,N/A,N/A,False,N/A,SmurfCoin
CWXT,43265,N/A,/media/1382470/cwxt.png,CryptoWorldXToken (CWXT),CWXT,CWXT,N/A,/coins/cwxt/overview,1072,0,PoW/PoS,100000000,N/A,N/A,False,N/A,CryptoWorldXToken
TECH,43595,N/A,/media/1382505/tech.png,TechCoin (TECH),TECH,TECH,X13,/coins/tech/overview,1073,0,PoW/PoS,300000,N/A,N/A,False,N/A,TechCoin
CIR,43598,N/A,/media/1382506/cir.png,CircuitCoin (CIR),CIR,CIR,SHA256D,/coins/cir/overview,1074,0,PoW/PoS,3125000000,N/A,N/A,False,N/A,CircuitCoin
LEPEN,43602,N/A,/media/1382507/lepen.png,LePenCoin (LEPEN),LEPEN,LEPEN,SHA256,/coins/lepen/overview,1075,0,PoS,1000000000,N/A,N/A,False,N/A,LePenCoin
ROUND,43604,N/A,/media/1382508/round.png,RoundCoin (ROUND),ROUND,ROUND,N/A,/coins/round/overview,1076,0,N/A,1000000000,N/A,N/A,False,7605,RoundCoin
MAR,43814,N/A,/media/1382577/mar.png,MarijuanaCoin (MAR),MAR,MAR,X11,/coins/mar/overview,1077,0,PoW/PoS,N/A,N/A,N/A,False,N/A,MarijuanaCoin
MARX,43818,N/A,/media/1382578/marx.png,MarxCoin (MARX),MARX,MARX,X11,/coins/marx/overview,1078,0,PoW,100640000,N/A,N/A,False,N/A,MarxCoin
HAZE,43937,N/A,/media/1382595/haze.png,HazeCoin (HAZE),HAZE,HAZE,Scrypt,/coins/haze/overview,1080,0,PoW,25000000,N/A,N/A,False,N/A,HazeCoin
PRX,43998,N/A,/media/1382603/prx.png,Printerium (PRX),PRX,PRX,Scrypt,/coins/prx/overview,1081,0,PoW/PoS,20000000,N/A,N/A,False,N/A,Printerium
NRC,44001,N/A,/media/1382604/nrc.png,Neurocoin (NRC),NRC,NRC,PoS,/coins/nrc/overview,1082,0,PoS,N/A,N/A,N/A,False,N/A,Neurocoin
PAC,44003,N/A,/media/30002082/pac.png,PacCoin (PAC),PAC,PAC,X11,/coins/pac/overview,1083,0,PoW,100000000000,N/A,N/A,False,N/A,PacCoin
IMPCH,44007,N/A,/media/1382606/impch.png,Impeach (IMPCH),IMPCH,IMPCH,Scrypt,/coins/impch/overview,1084,0,PoW/PoS,21933333,N/A,N/A,False,N/A,Impeach
ERR,44749,N/A,/media/1382624/err.png,ErrorCoin (ERR),ERR,ERR,Scrypt,/coins/err/overview,1085,0,PoW,81000000,N/A,N/A,False,N/A,ErrorCoin
NUKE,44799,N/A,/media/1382626/nuke.png,NukeCoin (NUKE),NUKE,NUKE,PoS,/coins/nuke/overview,1087,0,PoS,2778196,N/A,N/A,False,N/A,NukeCoin
EOC,44803,N/A,/media/1382628/eoc.png,EveryonesCoin (EOC),EOC,EOC,Scrypt,/coins/eoc/overview,1088,0,PoW/PoS,N/A,N/A,N/A,False,N/A,EveryonesCoin
SFC,44952,N/A,/media/1382639/sfc.png,Solarflarecoin (SFC),SFC,SFC,Scrypt,/coins/sfc/overview,1089,0,PoW,20000000,N/A,N/A,False,N/A,Solarflarecoin
JANE,44955,N/A,/media/1382640/jane.png,JaneCoin (JANE),JANE,JANE,X11,/coins/jane/overview,1090,0,PoW/PoS,2100000000,N/A,N/A,False,N/A,JaneCoin
PARA,44957,N/A,/media/1382641/para.png,ParanoiaCoin (PARA),PARA,PARA,Scrypt,/coins/para/overview,1091,0,PoW,72000000,N/A,N/A,False,N/A,ParanoiaCoin
NDOGE,45044,N/A,/media/1382650/ndoge.png,NinjaDoge (NDOGE),NDOGE,NDOGE,X11,/coins/ndoge/overview,1094,0,PoW/PoS,N/A,N/A,N/A,False,N/A,NinjaDoge
MLN,45253,N/A,/media/1382653/mln.png,Melon (MLN),MLN,MLN,N/A,/coins/mln/overview,1096,1,N/A,852000,N/A,0xBEB9eF514a379B997e0798FDcC901Ee474B6D9A1,False,7605,Melon
PAY,45260,N/A,/media/1383687/pay.png,TenX (PAY),PAY,PAY,N/A,/coins/pay/overview,1098,0,N/A,205218255.9485,N/A,0xB97048628DB6B661D4C2aA833e95Dbe1A905B280,False,7605,TenX
ORO,45262,N/A,/media/1382656/oro.png,OroCoin (ORO),ORO,ORO,Scrypt,/coins/oro/overview,1099,0,PoW,23529412,N/A,N/A,False,N/A,OroCoin
ALEX,45607,N/A,/media/1382657/alex.png,Alexandrite (ALEX),ALEX,ALEX,SHA256,/coins/alex/overview,1100,0,PoW/PoS,1268000,N/A,N/A,False,N/A,Alexandrite
TBCX,45609,N/A,/media/1382658/tbcx.png,TrashBurn (TBCX),TBCX,TBCX,SHA256D,/coins/tbcx/overview,1101,0,PoS,9000000,N/A,N/A,False,N/A,TrashBurn
MCAR,45612,N/A,/media/1382659/mcar.png,MasterCar (MCAR),MCAR,MCAR,Scrypt,/coins/mcar/overview,1102,0,PoW/PoS,2991837,N/A,N/A,False,N/A,MasterCar
THS,45615,N/A,/media/1382660/ths.png,TechShares (THS),THS,THS,DPoS,/coins/ths/overview,1103,0,DPoS,600000000,N/A,N/A,False,N/A,TechShares
EA,45821,N/A,/media/1382685/ea.png,EagleCoin (EA),EA,EA,SHA256,/coins/ea/overview,1106,0,PoW,40000000,N/A,N/A,False,N/A,EagleCoin
PIE,45832,N/A,/media/1382686/pie.png,Persistent Information Exchange (PIE),PIE,PIE,PoS,/coins/pie/overview,1107,0,PoS,N/A,N/A,N/A,False,N/A,Persistent Information Exchange
CREA,48787,N/A,/media/1382709/crea.png,CreativeChain (CREA),CREA,CREA,Keccak,/coins/crea/overview,1109,0,PoW,115000000,N/A,N/A,False,N/A,CreativeChain
BVC,48800,N/A,/media/1382711/bvc.png,BeaverCoin (BVC),BVC,BVC,Scrypt,/coins/bvc/overview,1111,0,PoW,3360000,N/A,N/A,False,N/A,BeaverCoin
FIND,48807,N/A,/media/1382713/find.png,FindCoin (FIND),FIND,FIND,X13,/coins/find/overview,1112,1,PoS,14524851.4827,N/A,N/A,False,N/A,FindCoin
MLITE,49600,N/A,/media/1382725/mlite.png,MeLite (MLITE),MLITE,MLITE,SHA256D,/coins/mlite/overview,1113,0,PoW/PoS,1.000.000,N/A,N/A,False,N/A,MeLite
TSE,49610,N/A,/media/1382790/tato1.png,TattooCoin (TSE),TSE,TSE,Scrypt,/coins/tse/overview,1115,0,PoW/PoS,500000000,N/A,N/A,False,N/A,TattooCoin
VLTC,50730,N/A,/media/1382738/vltc.png,VaultCoin (VLTC),VLTC,VLTC,X11,/coins/vltc/overview,1116,0,PoW,1000000000,N/A,N/A,False,N/A,VaultCoin
BIOB,50734,N/A,/media/1382739/biob.png,BioBar (BIOB),BIOB,BIOB,SHA256D,/coins/biob/overview,1117,0,PoW/PoS,60000000,N/A,N/A,False,N/A,BioBar
SWT,50741,N/A,/media/1382740/swt.jpg,Swarm City Token (SWT),SWT,SWT,N/A,/coins/swt/overview,1118,0,N/A,7885956,N/A,0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,False,7605,Swarm City Token
PASL,50754,N/A,/media/1382741/pasl.png,Pascal Lite (PASL),PASL,PASL,SHA256,/coins/pasl/overview,1119,0,PoW/PoS,N/A,N/A,N/A,False,N/A,Pascal Lite
ZER,51845,N/A,/media/34155612/zer.png,Zero (ZER),ZER,ZER,Equihash,/coins/zer/overview,1122,0,PoW,78948000,N/A,N/A,False,N/A,Zero
CDN,52015,N/A,/media/1382763/cdn.png,Canada eCoin (CDN),CDN,CDN,Scrypt,/coins/cdn/overview,1124,0,PoW,100000000 ,N/A,N/A,False,N/A,Canada eCoin
NETKO,53174,N/A,/media/1382771/netko.png,Netko (NETKO),NETKO,NETKO,Blake,/coins/netko/overview,1126,0,N/A,25534140,N/A,N/A,False,N/A,Netko
ZOI,53178,N/A,/media/27011018/zoi.png,Zoin (ZOI),ZOI,ZOI,Lyra2RE,/coins/zoi/overview,1127,0,PoW,21000000,N/A,N/A,False,N/A,Zoin
HONEY,53915,N/A,/media/1382937/honey1.png,Honey (HONEY),HONEY,HONEY,Blake2S,/coins/honey/overview,1128,0,PoW/PoS,7000000,N/A,N/A,False,N/A,Honey
MUSIC,53950,N/A,/media/1382783/music.png,Musicoin (MUSIC),MUSIC,MUSIC,Ethash,/coins/music/overview,1130,0,PoW,454898394,N/A,N/A,False,N/A,Musicoin
DTB,55540,N/A,/media/1382791/dtb.png,Databits (DTB),DTB,DTB,N/A,/coins/dtb/overview,1131,0,N/A,22747809,N/A,N/A,False,1182,Databits
VEG,55544,N/A,/media/1382792/veg.png,BitVegan (VEG),VEG,VEG,PoS,/coins/veg/overview,1132,0,PoS,600000000,N/A,N/A,False,N/A,BitVegan
MBIT,55547,N/A,/media/1382793/mbit.png,Mbitbooks (MBIT),MBIT,MBIT,Scrypt,/coins/mbit/overview,1133,0,PoW,81000000,N/A,N/A,False,N/A,Mbitbooks
VOLT,55553,N/A,/media/1382794/volt.png,BitVolt (VOLT),VOLT,VOLT,PoS,/coins/volt/overview,1134,0,PoS,N/A,N/A,N/A,False,N/A,BitVolt
EDG,55676,N/A,/media/1382799/edg.jpg,Edgeless (EDG),EDG,EDG,N/A,/coins/edg/overview,1136,0,N/A,132046997,N/A,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,False,7605,Edgeless
B@,56078,N/A,/media/1382804/b.png,BankCoin (B@),B@,B@,N/A,/coins/b/overview,1137,0,N/A,N/A,N/A,N/A,False,N/A,BankCoin
BEST,56246,N/A,/media/1382805/best.jpg,BestChain (BEST),BEST,BEST,Scrypt,/coins/best/overview,1138,0,PoW/PoS ,N/A,N/A,N/A,False,N/A,BestChain
CHC,56249,N/A,/media/33842945/chc.jpg,ChainCoin (CHC),CHC,CHC,N/A,/coins/chc/overview,1139,0,N/A,23000000,N/A,N/A,False,N/A,ChainCoin
ZENI,56253,N/A,/media/1382807/zen.png,Zennies (ZENI),ZENI,ZENI,Scrypt,/coins/zeni/overview,1140,0,PoS,1000000000,N/A,N/A,False,N/A,Zennies
PLANET,56654,N/A,/media/1382851/planet.png,PlanetCoin (PLANET),PLANET,PLANET,Scrypt,/coins/planet/overview,1141,0,PoW/PoS,1000000,N/A,N/A,False,N/A,PlanetCoin
DUCK,56678,N/A,/media/1382852/duckduckcoin.png,DuckDuckCoin (DUCK),DUCK,DUCK,Scrypt,/coins/duck/overview,1142,0,PoW,121,N/A,N/A,False,N/A,DuckDuckCoin
BNX,56682,N/A,/media/1382853/bnx.png,BnrtxCoin (BNX),BNX,BNX,X11,/coins/bnx/overview,1143,0,PoW,210000000,N/A,N/A,False,N/A,BnrtxCoin
BSTK,57466,N/A,/media/1382858/bstk.png,BattleStake (BSTK),BSTK,BSTK,PoS,/coins/bstk/overview,1144,0,PoS,N/A,N/A,N/A,False,N/A,BattleStake
RNS,57471,N/A,/media/1382859/rns.png,RenosCoin (RNS),RNS,RNS,Scrypt,/coins/rns/overview,1145,0,PoS,34426423,N/A,N/A,False,N/A,RenosCoin
AMIS,57676,N/A,/media/1382862/amis.png,AMIS (AMIS),AMIS,AMIS,N/A,/coins/amis/overview,1147,0,N/A,20000000,N/A,0x949bEd886c739f1A3273629b3320db0C5024c719,False,7605,AMIS
KAYI,57705,N/A,/media/1382863/kayi.png,Kay? (KAYI),KAYI,KAYI,N/A,/coins/kayi/overview,1148,0,N/A,1000000000,N/A,N/A,False,20131,Kay?
XVP,57734,N/A,/media/1382865/xvp.png,VirtacoinPlus (XVP),XVP,XVP,X11,/coins/xvp/overview,1149,0,PoW/PoS,100000000,N/A,N/A,False,N/A,VirtacoinPlus
BOAT,57742,N/A,/media/1382866/boat.png,Doubloon (BOAT),BOAT,BOAT,536,/coins/boat/overview,1150,0,PoW/PoS,500000000,N/A,N/A,False,N/A,Doubloon
TAJ,57750,N/A,/media/1382867/taj.png,TajCoin (TAJ),TAJ,TAJ,Blake2S,/coins/taj/overview,1151,0,PoW/PoS,36900000,N/A,N/A,False,N/A,TajCoin
